Platform,Title,Link,Rating,Reviews
Google Place,,,0.0,0
booking.com,"AMERON Hotel Abion Spreebogen Berlin, Berlino (prezzi aggiornati ...",https://www.booking.com/hotel/de/abion-spreebogen-waterside.it.html,,
hotels.com,The Best Hotels in Berlin from CA $90 | Hotels.com,https://ca.hotels.com/de332483/berlin-germany-hotels-rooms/,,
expedia.com,Germany Vacation Packages 2025 from $989 | Expedia,https://www.expedia.com/Germany.d64.Destination-Travel-Guides,,
agoda.com,"AMERON Hotel Abion Spreebogen Berlin , Berlin | 2025 Updated ...",https://www.agoda.com/abion-spreebogen-waterside-hotel/hotel/berlin-de.html,,
tripadvisor.com,"Sehr unappetitlich, eine benutzte Damenbinde in seinem Duschtuch ...",https://www.tripadvisor.com/LocationPhotoDirectLink-g187323-d199422-i421668573-AMERON_Berlin_ABION_Spreebogen_Waterside-Berlin.html,,
kayak.com,Hotellit ] Yliopistollinen sairaala Charité (Berliini) 15 €alk./yö - KAYAK,https://www.fi.kayak.com/Berliini-hotellit_Yliopistollinen-sairaala-Charite.L1055.9109.hotel.ksp,,
trip.com,The Kimberley Hotel Reviews: 14 Verified Reviews Latest 2024 ...,https://www.trip.com/hotels/hong-kong-hotel-detail-425443/the-kimberley-hotel/review.html,,
priceline.com,Hotel Deals in Berlin - Book Now from $38/night,https://www.priceline.com/hotel-deals/en-us/P3000035821/hotels-in-berlin.ssp,,
